한글 도시 이름,영어 도시 이름
서울,Seoul
부산,Busan
인천,Incheon
대구,Daegu
대전,Daejeon
광주,Gwangju
수원,Suwon
울산,Ulsan
창원,Changwon
고양,Goyang
용인,Yongin
성남,Seongnam
청주,Cheongju
안산,Ansan
안양,Anyang
전주,Jeonju
천안,Cheonan
남양주,Namyangju
화성,Hwaseong
파주,Paju
평택,Pyeongtaek
의정부,Uijeongbu
시흥,Siheung
김해,Gimhae
구미,Gumi
광명,Gwangmyeong
김포,Gimpo
제주,Jeju
양산,Yangsan
나주,Naju
아산,Asan
익산,Iksan
양주,Yangju
동두천,Dongducheon
이천,Icheon
구리,Guri
여수,Yeosu
충주,Chungju
안동,Andong
김천,Gimcheon
목포,Mokpo
경산,Gyeongsan
정읍,Jeongeup
거제,Geoje
진주,Jinju
포항,Pohang
완주,Wanju
단양,Danyang
부여,Buyeo
보령,Boryeong
태안,Taean
당진,Dangjin
서산,Seosan
홍성,Hongseong
청양,Cheongyang
영덕,Yeongdeok
울진,Uljin
포천,Pocheon
양평,Yangpyeong
하남,Hanam
의왕,Uiwang
오산,Osan
하동,Hadong
고성,Goseong
영암,Yeongam
신안,Sinan
청송,Cheongsong
영월,Yeongwol
고창,Gochang
무주,Muju
화순,Hwasun
진안,Jinan
영광,Yeonggwang
장성,Jangseong
함평,Hampyeong
강진,Gangjin
담양,Damyang
곡성,Gokseong
장흥,Jangheung
해남,Haenam
보성,Boseong
고흥,Goheung
강화,Ganghwa
옹진,Ongjin
진도,Jindo
함안,Haman
고령,Goryeong
성주,Seongju
의성,Uiseong
영양,Yeongyang
울릉,Ulleung
독도,Dokdo
상주,Sangju
문경,Mungyeong
영주,Yeongju
예천,Yecheon
경주,Gyeongju
청도,Cheongdo
군위,Gunwi
의령,Uiryeong
영천,Yeongcheon
인제,Inje
정선,Jeongseon
철원,Cheorwon
태백,Taebaek
평창,Pyeongchang
홍천,Hongcheon
화천,Hwacheon
횡성,Hoengseong
강릉,Gangneung
동해,Donghae
삼척,Samcheok
속초,Sokcho
양구,Yanggu
양양,Yangyang
세종,Sejong
원주,Wonju
춘천,Chuncheon
보은,Boeun
영동,Yeongdong
영춘,Yeongchun
옥천,Okcheon
음성,Eumseong
제천,Jecheon
증평,Jeungpyeong
진천,Jincheon
괴산,Goesan
대천,Daecheon
서천,Seocheon
금산,Geumsan
논산,Nonsan
예산,Yesan
공주,Gongju
연천,Yeoncheon
가평,Gapyeong
